robustness_method,return_horizon_months,sort_variable,sentiment_prone_direction,sentiment_prone_interpretation,coef,expected_signed_hac_t_stat,expected_signed_bootstrap_t_stat,theory_consistent_sign_flag,theory_consistent_sign_share,theory_consistent_hac_5pct_share,theory_consistent_bootstrap_5pct_share,n_obs,model_count
overlapping_baseline,6,UNPROFITABLE,prone_minus_safe,non_positive_earnings,-2.4999323453359845,1.8437595705896936,1.7643756158416273,True,1.0,0.0,0.0,247.0,1
sentiment_ar1_innovation,6,UNPROFITABLE,prone_minus_safe,non_positive_earnings,-0.6474355575537469,0.6217510395814324,0.6069512144721319,True,1.0,0.0,0.0,247.0,1
nonoverlapping_horizon_median_offset,6,XTURN,low_minus_high,low_share_turnover,2.0681335430808394,-0.5027554028230534,-0.42499516890453815,False,0.0,0.0,0.0,47.0,6
overlapping_baseline,6,XTURN,low_minus_high,low_share_turnover,1.9065985552261826,-0.6650529327649141,-0.689164452741279,False,0.0,0.0,0.0,283.0,1
sentiment_ar1_innovation,6,XTURN,low_minus_high,low_share_turnover,-0.2161944427907234,0.09504615921363833,0.0918911054899067,True,1.0,0.0,0.0,282.0,1
nonoverlapping_horizon_median_offset,6,age,low_minus_high,young_firms,-3.287241695302496,0.9834162550582929,0.7484351748776348,True,1.0,0.3333333333333333,0.0,47.0,6
overlapping_baseline,6,age,low_minus_high,young_firms,-2.8615753750805335,1.2308986909146427,1.2168241738584145,True,1.0,0.0,0.0,283.0,1
sentiment_ar1_innovation,6,age,low_minus_high,young_firms,-2.046439992905767,1.2405827483438019,1.248246171308661,True,1.0,0.0,0.0,282.0,1
nonoverlapping_horizon_median_offset,6,risk,high_minus_low,high_total_volatility,-13.517747697742855,3.1220565181831432,2.9957798058253804,True,1.0,1.0,1.0,47.0,6
overlapping_baseline,6,risk,high_minus_low,high_total_volatility,-12.078322058436076,4.296106030206289,4.254726553253522,True,1.0,1.0,1.0,283.0,1
sentiment_ar1_innovation,6,risk,high_minus_low,high_total_volatility,-6.363714535500262,2.4751021571190908,2.5256650877182505,True,1.0,1.0,1.0,282.0,1
nonoverlapping_horizon_median_offset,12,E_plus_BE,low_minus_high,low_profitability,-2.0630420668244804,0.950387616681915,0.5261243536333655,True,0.5833333333333334,0.16666666666666666,0.16666666666666666,20.0,12
overlapping_baseline,12,E_plus_BE,low_minus_high,low_profitability,0.07538406264414822,-0.02188539906540729,-0.02182355344539718,False,0.0,0.0,0.0,241.0,1
sentiment_ar1_innovation,12,E_plus_BE,low_minus_high,low_profitability,-0.8660413793135621,0.5441818340142773,0.5238475118413018,True,1.0,0.0,0.0,241.0,1
nonoverlapping_horizon_median_offset,12,GS,high_minus_low,high_sales_growth,-3.417321570337225,0.4375163791099407,0.4861264589722569,True,0.6666666666666666,0.08333333333333333,0.08333333333333333,19.0,12
overlapping_baseline,12,GS,high_minus_low,high_sales_growth,-3.2091849769741496,0.6138585788587395,0.5753176426895134,True,1.0,0.0,0.0,229.0,1
sentiment_ar1_innovation,12,GS,high_minus_low,high_sales_growth,-1.9241846401651206,0.66254457436764,0.6675228956264013,True,1.0,0.0,0.0,229.0,1
nonoverlapping_horizon_median_offset,12,ILLIQ,high_minus_low,high_amihud_illiquidity,-3.6405657945274195,0.7963706390962377,0.6236942953754383,True,0.9166666666666666,0.16666666666666666,0.0,23.0,12
overlapping_baseline,12,ILLIQ,high_minus_low,high_amihud_illiquidity,-2.577931181503004,0.7168861699952822,0.6858212056617494,True,1.0,0.0,0.0,277.0,1
sentiment_ar1_innovation,12,ILLIQ,high_minus_low,high_amihud_illiquidity,0.07089963567843652,-0.02628105411963016,-0.02580808038706932,False,0.0,0.0,0.0,276.0,1
nonoverlapping_horizon_median_offset,12,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-23.719266447871213,5.592136909585008,3.549079699276087,True,1.0,0.9166666666666666,0.9166666666666666,23.0,12
overlapping_baseline,12,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-18.422159014155813,3.7540813885129003,3.7568989552670002,True,1.0,1.0,1.0,277.0,1
sentiment_ar1_innovation,12,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-8.888775162715538,1.7785963346755125,1.832956979249338,True,1.0,0.0,0.0,276.0,1
nonoverlapping_horizon_median_offset,12,ME,low_minus_high,small_firms,-15.530532984350813,3.3330574803244826,2.0466230206270923,True,1.0,0.8333333333333334,0.5833333333333334,23.0,12
overlapping_baseline,12,ME,low_minus_high,small_firms,-14.037084190102998,3.147651588938405,2.8427154223140776,True,1.0,1.0,1.0,277.0,1
sentiment_ar1_innovation,12,ME,low_minus_high,small_firms,-6.60160966027712,1.4160856642442203,1.4182723241761461,True,1.0,0.0,0.0,276.0,1
nonoverlapping_horizon_median_offset,12,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-5.268582254258421,2.309386546120642,1.2957564552955394,True,1.0,0.5833333333333334,0.25,23.0,12
overlapping_baseline,12,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-4.96016555439862,2.8041356068463275,2.5933151246309363,True,1.0,1.0,1.0,277.0,1
sentiment_ar1_innovation,12,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-3.1521288065983675,2.135103889325783,2.207344860491726,True,1.0,1.0,1.0,276.0,1
nonoverlapping_horizon_median_offset,12,PPE_A,low_minus_high,low_tangibility,-17.336762195154872,4.307389460787549,2.9756290785709547,True,1.0,0.9166666666666666,0.8333333333333334,23.0,12
overlapping_baseline,12,PPE_A,low_minus_high,low_tangibility,-15.27256679906483,4.83238569021751,4.374901361678167,True,1.0,1.0,1.0,277.0,1
sentiment_ar1_innovation,12,PPE_A,low_minus_high,low_tangibility,-7.7224700023327735,2.5627095641381783,2.43304429326865,True,1.0,1.0,1.0,276.0,1
nonoverlapping_horizon_median_offset,12,UNPROFITABLE,prone_minus_safe,non_positive_earnings,-6.988248172644128,3.1522303463988752,2.401863330476039,True,1.0,0.75,0.5833333333333334,20.0,12
overlapping_baseline,12,UNPROFITABLE,prone_minus_safe,non_positive_earnings,-4.856958364637351,3.0413810667670647,2.8988363941675725,True,1.0,1.0,1.0,241.0,1
sentiment_ar1_innovation,12,UNPROFITABLE,prone_minus_safe,non_positive_earnings,-2.085289574702531,1.7347691176374018,1.6899022754546231,True,1.0,0.0,0.0,241.0,1
nonoverlapping_horizon_median_offset,12,XTURN,low_minus_high,low_share_turnover,4.994004022267841,-1.5080389987499212,-0.9481031751859548,False,0.25,0.0,0.0,23.0,12
overlapping_baseline,12,XTURN,low_minus_high,low_share_turnover,4.456156500875869,-1.2257498065402401,-1.1422441896331466,False,0.0,0.0,0.0,277.0,1
sentiment_ar1_innovation,12,XTURN,low_minus_high,low_share_turnover,0.8195115112823733,-0.28688679491012936,-0.28848690359443463,False,0.0,0.0,0.0,276.0,1
nonoverlapping_horizon_median_offset,12,age,low_minus_high,young_firms,-10.020994559433285,2.5177680565031677,1.4998752584646762,True,1.0,0.75,0.16666666666666666,23.0,12
overlapping_baseline,12,age,low_minus_high,young_firms,-8.365347151917195,2.2878342987085327,2.1140762429088014,True,1.0,1.0,1.0,277.0,1
sentiment_ar1_innovation,12,age,low_minus_high,young_firms,-4.62708806818711,1.7432317276818003,1.7474898910763088,True,1.0,0.0,0.0,276.0,1
nonoverlapping_horizon_median_offset,12,risk,high_minus_low,high_total_volatility,-23.405851583215732,5.251450914571759,3.532458491263613,True,1.0,0.9166666666666666,0.9166666666666666,23.0,12
overlapping_baseline,12,risk,high_minus_low,high_total_volatility,-19.654021763246444,4.434572031997647,4.183523151991827,True,1.0,1.0,1.0,277.0,1
sentiment_ar1_innovation,12,risk,high_minus_low,high_total_volatility,-9.034762696776644,1.7011436816924204,1.7733284635400561,True,1.0,0.0,0.0,276.0,1
