sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return
ME,continuous,low_minus_high,small_firms,2025-12-31,P10_P01,9.416513852777037
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2000-06-30,P10_P01,-2.7718968085940654
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2000-07-31,P10_P01,12.9099211290992
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2000-08-31,P10_P01,-1.9579831932772906
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2000-09-30,P10_P01,8.461106552066667
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2000-10-31,P10_P01,6.16881243158325
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2000-11-30,P10_P01,8.165875095499988
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2000-12-31,P10_P01,-8.220825153796687
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-01-31,P10_P01,6.038990280272608
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-02-28,P10_P01,11.296550264675249
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-03-31,P10_P01,0.6444137739350975
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-04-30,P10_P01,2.894816698063755
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-05-31,P10_P01,3.0713963800907513
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-06-30,P10_P01,-1.2464042477243709
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-07-31,P10_P01,7.602207294864033
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-08-31,P10_P01,-0.0858949976038712
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-09-30,P10_P01,-9.241649472727023
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-10-31,P10_P01,16.390975289153502
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-11-30,P10_P01,30.173626881265367
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2001-12-31,P10_P01,-10.539295499844027
BE_ME,continuous,mechanical_only,book_to_market_diagnostic,2002-01-31,P10_P01,8.675046133540253
