country_code,month_end_date,eligible_rows,payer_count,nonpayer_count,payer_market_cap,nonpayer_market_cap,payer_mb_value_weight,nonpayer_mb_value_weight,DIV_PREMIUM_VW,raw_value,min_group_count,dividend_premium_status
SWE,2013-01-31,350,193,157,2594793.706263705,129567.9449228,3.1873044616882646,16.531146669114854,-1.6460707151493423,-1.6460707151493423,10,ok
SWE,2013-02-28,352,193,159,2717527.23500474,131157.16122316,3.295503910173191,15.863652131013799,-1.5714713747468385,-1.5714713747468385,10,ok
SWE,2013-03-31,354,194,160,2692132.6570694097,136231.980035376,3.1403456555171925,16.01642329508164,-1.6292817765001468,-1.6292817765001468,10,ok
SWE,2013-04-30,360,198,162,2747871.541356642,135497.25062337998,3.099407983781092,18.126589523623167,-1.7661687744709786,-1.7661687744709786,10,ok
SWE,2013-05-31,366,197,169,2806591.780341441,131761.3285387,3.12084870759701,12.634821706895794,-1.3983516431956744,-1.3983516431956744,10,ok
SWE,2013-06-30,366,196,170,2639760.208305029,127735.09267238,3.095789096497952,16.51923228031482,-1.674482462756133,-1.674482462756133,10,ok
SWE,2013-07-31,369,196,173,2838237.9865398086,140379.0384830124,3.4478056407605875,16.910383811491137,-1.5901898774379217,-1.5901898774379217,10,ok
SWE,2013-08-31,366,195,171,2792733.6731790425,145466.5721487916,3.40360730329107,15.253840767893942,-1.4999954842302357,-1.4999954842302357,10,ok
SWE,2013-09-30,361,195,166,2859503.0640033404,158607.6628783352,3.529269839394799,15.833778508478806,-1.5010545331163268,-1.5010545331163268,10,ok
SWE,2013-10-31,360,197,163,2945551.3843558184,158104.822960673,3.4688489107168445,14.431219454317317,-1.4255710645765345,-1.4255710645765345,10,ok
SWE,2013-11-30,365,197,168,3015115.3612237284,166573.86291507998,3.53266820869982,14.162970953434398,-1.3885774274443317,-1.3885774274443317,10,ok
SWE,2013-12-31,370,197,173,3092988.7589692934,163380.14040143002,3.5897226149990664,12.648925006137564,-1.2594972983125323,-1.2594972983125323,10,ok
SWE,2014-01-31,370,196,174,3066208.3139375765,166012.32415574,3.5365005795622597,12.805350310343417,-1.2867253752123398,-1.2867253752123398,10,ok
SWE,2014-02-28,374,196,178,3268898.6970959366,179820.29633625995,3.6927438544161366,14.1260409123029,-1.3416501935161307,-1.3416501935161307,10,ok
