sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return,long_code,short_code,return_leg
ME,continuous,low_minus_high,small_firms,2007-08-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-3.195770609055266,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-09-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,4.954425177673898,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-10-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-1.2132994578452487,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-11-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-8.337905571421825,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2007-12-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-6.4165240852575955,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-01-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,14.505157829177286,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-02-29,SENTIMENT_PRONE_MINUS_INSENSITIVE,-1.5791693947028098,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-03-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-8.03046863804933,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-04-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,0.1207668947292575,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-05-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-0.9935261258832926,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-06-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.815066177011131,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-07-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,0.9329569718991131,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-08-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.86482138210688,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-09-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,2.8343384454147156,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-10-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,0.644932344107584,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-11-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-6.497747294515994,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2008-12-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-20.33132026350945,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-01-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,38.387816385902234,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-02-28,SENTIMENT_PRONE_MINUS_INSENSITIVE,3.1631494462387097,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-03-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-7.697993548467329,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-04-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,7.690704287509682,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-05-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-7.8599666521162135,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-06-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,4.290789018978566,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-07-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-11.297700968914771,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-08-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,11.591336719324902,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-09-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-0.45015133998325974,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-10-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-1.1855698811749993,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-11-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-6.158325988271612,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2009-12-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-8.391332410067818,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2010-01-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,6.656766814128436,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2010-02-28,SENTIMENT_PRONE_MINUS_INSENSITIVE,7.617507870504626,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2010-03-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-7.070637480438944,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2010-04-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-2.5219331083524086,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2010-05-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,2.290109794698087,P01,P10,directional_spread
